Year,Local,Global,Team,Rating,Change Rank,Change Rating,Avg Rank,Avg Rating,Year Rank,Year Rating,Total,Home,Away,Neutral,Win,Losses,Draws
1930,1,1,Argentina,2062,0,-15,3,1981,0,-9,185,86,72,27,92,50,43
1930,2,2,Uruguay,2037,1,65,4,1950,0,0,167,68,72,27,78,54,35
1930,3,9,Brazil,1880,-2,-50,7,1892,-4,-50,41,12,14,15,17,16,8
1930,4,15,United States,1773,5,87,17,1703,6,87,14,2,6,6,7,5,2
1930,5,16,Paraguay,1739,-1,-41,16,1742,6,54,51,13,19,19,16,28,7
1930,6,25,Chile,1646,7,68,31,1429,7,68,43,12,14,17,5,31,7
1930,7,28,Yugoslavia,1631,5,56,32,1563,1,21,39,14,19,6,14,21,4
1930,8,31,Romania,1601,4,35,32,1568,8,69,26,12,12,2,11,11,4
1930,9,33,Belgium,1571,-6,-64,13,1770,-9,-60,119,63,51,5,42,59,18
1930,10,35,France,1559,5,36,22,1568,1,19,98,52,38,8,25,63,10
1930,11,40,Peru,1498,-4,-44,32,1568,-8,-80,8,3,2,3,1,7,0
1930,12,41,Mexico,1495,-11,-118,22,1675,-13,-118,11,3,3,5,4,6,1
1930,13,63,Bolivia,1244,-2,-15,58,1261,-4,-15,9,0,2,7,0,9,0
1934,1,1,Italy,2046,4,73,13,1743,3,54,116,60,42,14,56,31,29
1934,2,2,Argentina,2013,-1,-52,3,1990,-1,-41,196,91,77,28,98,53,45
1934,3,3,Austria,1993,-1,-55,7,1879,0,-7,166,76,82,8,82,52,32
1934,4,6,Spain,1968,1,33,4,1968,2,59,50,19,22,9,33,9,8
1934,5,7,Czechoslovakia,1903,2,57,8,1878,4,74,97,39,49,9,50,26,21
1934,6,9,Brazil,1863,-3,-76,7,1897,-2,-76,48,16,16,16,22,18,8
1934,7,10,Germany,1853,2,53,15,1701,3,95,104,48,47,9,40,43,21
1934,8,11,Hungary,1846,0,16,6,1896,-1,7,178,85,86,7,85,55,38
1934,9,15,United States,1764,-1,-20,16,1717,-3,-4,17,2,8,7,8,7,2
1934,10,16,Sweden,1756,1,25,15,1710,5,65,184,91,82,11,86,69,29
1934,11,20,Egypt,1685,-2,-31,20,1690,-1,-16,17,2,5,10,8,7,2
1934,12,24,Netherlands,1664,-3,-37,11,1840,3,19,137,67,58,12,59,54,24
1934,13,27,Switzerland,1636,4,23,22,1563,1,-2,127,61,57,9,33,72,22
1934,14,28,Romania,1629,-2,-14,32,1580,3,31,43,19,19,5,22,16,5
1934,15,31,France,1610,-1,-5,24,1569,3,22,125,65,51,9,33,78,14
1934,16,40,Belgium,1524,-2,-20,15,1747,-8,-67,152,80,66,6,52,77,23
1938,1,1,Italy,2122,1,71,11,1788,0,50,143,69,54,20,75,34,34
1938,2,6,Hungary,1944,0,23,7,1895,4,60,213,98,104,11,105,64,44
1938,3,7,Brazil,1935,0,27,8,1894,0,27,59,16,18,25,29,21,9
1938,4,12,Czechoslovakia,1823,1,21,8,1880,-3,-68,129,54,63,12,62,37,30
1938,5,14,Germany,1761,-3,-75,15,1723,-2,-76,152,74,67,11,71,52,29
1938,6,17,Norway,1727,0,-3,25,1537,3,22,130,65,55,10,43,62,25
1938,7,18,Switzerland,1720,5,52,23,1572,14,123,165,79,73,13,43,93,29
1938,8,22,Netherlands,1670,-3,-39,12,1824,-5,-60,159,80,66,13,70,61,28
1938,9,25,Sweden,1664,2,12,15,1713,-5,-41,216,106,95,15,101,82,33
1938,10,30,France,1637,2,13,24,1574,4,54,149,82,58,9,43,90,16
1938,11,32,Poland,1623,-2,-10,28,1615,4,45,74,35,36,3,28,33,13
1938,12,39,Belgium,1539,-2,-26,19,1720,2,2,179,93,80,6,58,91,30
1938,13,40,Romania,1527,-2,-32,33,1577,-5,-53,68,28,29,11,30,26,12
1938,14,42,Cuba,1520,-1,-26,30,1614,-2,-26,19,5,7,7,10,7,2
1938,15,46,Dutch East Indies,1458,0,-9,47,1467,0,-9,4,0,1,3,1,3,0
1950,1,2,Brazil,2014,2,45,7,1907,3,30,115,47,29,39,61,36,18
1950,2,3,England,1985,-1,-91,3,1996,-1,-52,316,127,182,7,210,63,43
1950,3,4,Italy,1976,1,10,9,1872,0,-22,177,87,67,23,96,42,39
1950,4,5,Sweden,1948,-2,-24,15,1735,-2,-59,286,137,124,25,145,99,42
1950,5,9,Yugoslavia,1875,4,57,30,1614,7,109,141,54,66,21,61,60,20
1950,6,10,Uruguay,1871,8,135,6,1937,12,152,264,95,105,64,122,95,47
1950,7,11,Spain,1868,-2,-29,5,1950,-2,-25,84,32,38,14,48,19,17
1950,8,13,Paraguay,1848,-3,-29,16,1749,-3,-22,108,21,37,50,38,53,17
1950,9,19,Switzerland,1732,2,23,21,1621,-1,-8,225,106,104,15,67,121,37
1950,10,21,Mexico,1724,-9,-102,21,1713,-8,-64,38,13,7,18,25,11,2
1950,11,30,Chile,1640,3,41,30,1530,-3,1,103,28,25,50,26,64,13
1950,12,44,United States,1566,-4,-14,19,1699,-3,-1,35,5,16,14,10,22,3
1950,13,63,Bolivia,1423,0,-22,66,1286,-3,11,43,1,8,34,8,29,6
1954,1,1,Hungary,2186,0,45,7,1903,0,87,308,135,153,20,164,81,63
1954,2,2,West Germany,2092,3,154,12,1779,6,181,223,105,101,17,118,67,38
1954,3,4,Brazil,2010,-1,-21,7,1918,0,39,134,49,33,52,74,40,20
1954,4,5,England,1970,-1,-47,3,1996,-2,-29,348,140,199,9,226,70,52
1954,5,6,Austria,1965,5,101,8,1881,5,110,254,116,125,13,120,85,49
1954,6,7,Uruguay,1938,3,62,6,1932,2,55,285,97,110,78,133,102,50
1954,7,9,Yugoslavia,1911,-3,-21,27,1648,-4,-20,175,66,80,29,83,67,25
1954,8,11,Italy,1827,-2,-63,8,1876,2,-12,196,95,76,25,104,48,44
1954,9,13,Scotland,1800,-5,-91,4,1957,-7,-124,242,113,127,2,145,53,44
1954,10,14,France,1773,1,7,24,1614,1,15,216,117,87,12,73,117,26
1954,11,16,Belgium,1748,-2,-26,25,1675,0,-2,249,127,114,8,83,119,47
1954,12,17,Switzerland,1724,10,48,21,1628,9,51,253,124,114,15,75,137,41
1954,13,25,Czechoslovakia,1687,-8,-61,9,1859,-7,-53,183,78,91,14,84,59,40
1954,14,28,Turkey,1660,6,42,51,1444,12,78,63,29,23,11,22,32,9
1954,15,30,Mexico,1654,-6,-39,21,1709,0,19,49,16,9,24,30,17,2
1954,16,41,South Korea,1588,-15,-90,18,1733,-24,-159,19,0,10,9,11,4,4
1958,1,1,Brazil,2139,3,165,6,1926,3,148,187,67,50,70,106,49,32
1958,2,2,Hungary,1983,-1,-94,7,1920,0,-113,351,152,176,23,191,89,71
1958,3,3,England,1949,0,-61,3,1996,0,-65,383,154,216,13,246,76,61
1958,4,4,France,1947,9,112,23,1630,5,84,245,129,98,18,88,124,33
1958,5,5,Argentina,1919,-3,-124,2,2025,-4,-189,338,136,133,69,193,77,68
1958,6,7,Sweden,1896,10,96,15,1750,11,119,361,175,156,30,182,120,59
1958,7,8,Czechoslovakia,1895,1,8,10,1853,4,42,211,87,106,18,98,69,44
1958,8,9,Soviet Union,1894,1,11,35,1539,1,32,69,25,29,15,39,15,15
1958,9,10,Yugoslavia,1879,-2,-17,25,1677,-2,5,214,81,97,36,101,77,36
1958,10,11,West Germany,1872,-6,-41,12,1794,-4,-12,255,118,115,22,131,83,41
1958,11,14,Austria,1833,-7,-68,8,1883,-8,-63,284,130,138,16,130,97,57
1958,12,17,Wales,1793,11,80,12,1633,12,111,229,109,115,5,63,121,45
1958,13,20,Northern Ireland,1767,6,36,27,1657,11,104,108,52,51,5,21,62,25
1958,14,21,Scotland,1765,-7,-59,5,1951,-10,-92,271,126,140,5,156,62,53
1958,15,22,Paraguay,1761,-1,11,16,1765,0,44,153,33,53,67,53,71,29
1958,16,27,Mexico,1723,-7,-55,22,1707,-4,13,63,25,12,26,36,21,6
1962,1,1,Brazil,2194,0,92,6,1940,0,106,233,79,67,87,142,55,36
1962,2,2,Soviet Union,2016,0,-20,32,1572,2,42,101,34,47,20,63,21,17
1962,3,3,Czechoslovakia,1997,1,22,10,1857,2,45,244,102,116,26,117,79,48
1962,4,4,Hungary,1964,3,13,6,1924,-2,-38,388,169,192,27,212,96,80
1962,5,5,Argentina,1942,-2,-37,2,2022,-2,-37,376,151,146,79,214,86,76
1962,6,6,Spain,1934,0,-27,6,1928,1,-13,138,55,65,18,75,33,30
1962,7,7,Yugoslavia,1924,-2,-47,24,1699,2,-5,257,94,118,45,127,86,44
1962,8,8,West Germany,1923,2,29,12,1799,5,64,284,131,128,25,147,90,47
1962,9,9,England,1920,-1,-15,3,1993,-4,-32,420,170,233,17,263,86,71
1962,10,14,Uruguay,1850,-5,-54,6,1930,-6,-89,345,117,130,98,159,123,63
1962,11,15,Mexico,1848,1,39,22,1715,2,45,93,34,26,33,50,30,13
1962,12,16,Italy,1846,-1,-7,9,1868,2,45,234,114,93,27,121,61,52
1962,13,17,Chile,1829,6,90,29,1570,8,108,189,69,47,73,56,109,24
1962,14,23,Bulgaria,1743,-2,-20,48,1483,-1,-7,142,59,65,18,46,69,27
1962,15,40,Switzerland,1639,-14,-76,23,1632,-2,-21,296,143,135,18,85,163,48
1962,16,77,Colombia,1459,8,18,75,1353,6,20,55,17,9,29,14,32,9
1966,1,1,England,2079,2,88,3,1990,4,132,466,191,256,19,293,92,81
1966,2,2,West Germany,2029,5,82,12,1807,8,151,316,144,142,30,166,98,52
1966,3,3,Portugal,2022,13,193,26,1679,17,229,140,71,57,12,48,70,22
1966,4,4,Soviet Union,2017,-2,16,30,1605,-1,46,139,46,66,27,81,28,30
1966,5,5,Argentina,1974,0,10,2,2018,-1,10,412,161,162,89,232,94,86
1966,6,6,Hungary,1957,0,-2,6,1927,-4,-18,425,182,211,32,232,106,87
1966,7,7,Brazil,1925,-6,-93,6,1945,-6,-84,282,101,86,95,170,67,45
1966,8,8,Italy,1918,-4,-49,9,1870,-2,-1,263,128,105,30,139,66,58
1966,9,12,Spain,1857,-3,-35,7,1926,-3,-40,160,66,72,22,84,41,35
1966,10,14,Uruguay,1843,-1,-3,7,1925,-3,-26,375,126,148,101,171,134,70
1966,11,15,Mexico,1841,-5,-25,21,1726,-4,-28,118,40,36,42,64,34,20
1966,12,16,North Korea,1815,-1,-23,16,1808,3,17,26,8,4,14,20,3,3
1966,13,27,France,1731,-4,-23,22,1655,1,0,302,158,123,21,105,149,48
1966,14,28,Chile,1729,-4,-21,28,1587,-13,-93,218,82,59,77,63,122,33
1966,15,29,Bulgaria,1721,-12,-76,46,1509,-5,-26,177,74,80,23,62,81,34
1966,16,47,Switzerland,1603,-8,-39,25,1630,1,-6,321,156,144,21,90,178,53
1970,1,1,Brazil,2173,1,161,6,1947,1,173,327,122,103,102,203,73,51
1970,2,2,West Germany,2055,2,64,11,1819,1,56,354,159,159,36,189,103,62
1970,3,3,England,2029,-2,-38,3,1993,-2,-50,506,207,274,25,317,98,91
1970,4,4,Italy,2014,-1,9,9,1877,0,38,291,140,116,35,155,68,68
1970,5,5,Soviet Union,1955,0,-22,28,1630,0,-12,188,61,96,31,106,36,46
1970,6,8,Czechoslovakia,1857,-2,-102,10,1863,-1,-40,295,120,145,30,139,99,57
1970,7,9,Uruguay,1853,0,5,7,1922,4,14,411,142,162,107,186,145,80
1970,8,10,Sweden,1847,0,5,14,1768,9,53,468,224,210,34,240,146,82
1970,9,15,Romania,1813,4,20,33,1624,5,20,214,92,101,21,89,82,43
1970,10,22,Peru,1760,8,49,29,1655,21,123,159,63,35,61,55,73,31
1970,11,24,Bulgaria,1740,-8,-70,43,1535,-16,-156,211,87,98,26,75,92,44
1970,12,25,Belgium,1739,-3,-33,26,1682,-8,-76,356,180,165,11,125,167,64
1970,13,29,Mexico,1719,3,23,21,1732,-8,-71,180,75,55,50,89,53,38
1970,14,36,Israel,1684,3,13,58,1523,9,54,96,46,31,19,36,46,14
1970,15,40,Morocco,1646,-4,-41,33,1682,-5,-28,81,34,26,21,35,27,19
1970,16,69,El Salvador,1492,-3,-43,56,1468,-6,-44,136,50,28,58,62,53,21
1974,1,1,West Germany,2141,1,32,10,1836,1,40,396,185,174,37,219,110,67
1974,2,2,Poland,2081,3,122,33,1634,3,132,288,126,142,20,111,109,68
1974,3,3,Netherlands,2056,13,217,21,1747,16,236,353,184,150,19,154,130,69
1974,4,4,Brazil,2035,-3,-81,5,1961,-3,-98,366,143,114,109,226,77,63
1974,5,5,Italy,1967,-2,-32,9,1884,-1,-8,321,154,129,38,170,72,79
1974,6,7,East Germany,1919,-1,-21,43,1638,7,58,155,67,79,9,74,48,33
1974,7,8,Sweden,1910,5,28,14,1773,4,39,510,241,229,40,261,155,94
1974,8,10,Yugoslavia,1896,-3,-38,21,1736,-4,-46,368,135,172,61,171,122,75
1974,9,12,Scotland,1889,5,68,6,1932,9,97,384,179,194,11,203,105,76
1974,10,17,Argentina,1842,-8,-52,3,2004,-6,-31,488,185,198,105,262,117,109
1974,11,21,Chile,1779,2,-1,28,1608,9,61,286,107,91,88,89,148,49
